name,abbreviation,staff_tests,prisoner_tests,total_staff_cases,total_prisoner_cases,total_staff_deaths,total_prisoner_deaths,date,week_num
Alabama,AL,,,1.0,0.0,0.0,0.0,2020-03-26,2020-13
Alabama,AL,,17.0,2.0,0.0,0.0,0.0,2020-03-31,2020-14
Alabama,AL,,30.0,,0.0,0.0,0.0,2020-04-06,2020-15
Alabama,AL,,50.0,6.0,0.0,0.0,0.0,2020-04-13,2020-16
Alabama,AL,,63.0,8.0,4.0,0.0,1.0,2020-04-21,2020-17
Alabama,AL,,78.0,13.0,4.0,0.0,1.0,2020-04-28,2020-18
Alabama,AL,,102.0,17.0,8.0,0.0,1.0,2020-05-06,2020-19
Alaska,AK,,4.0,0.0,0.0,0.0,0.0,2020-03-26,2020-13
Alaska,AK,,10.0,0.0,0.0,0.0,0.0,2020-04-01,2020-14
Alaska,AK,,15.0,,0.0,,0.0,2020-04-08,2020-15
Alaska,AK,,32.0,7.0,0.0,0.0,0.0,2020-04-15,2020-16
Alaska,AK,,57.0,8.0,0.0,0.0,0.0,2020-04-22,2020-17
Alaska,AK,,211.0,,1.0,,,2020-04-29,2020-18
Alaska,AK,,235.0,8.0,1.0,0.0,0.0,2020-05-06,2020-19
Arizona,AZ,,15.0,,0.0,0.0,0.0,2020-03-26,2020-13
Arizona,AZ,,34.0,,0.0,0.0,0.0,2020-04-01,2020-14
Arizona,AZ,,68.0,,2.0,,,2020-04-09,2020-15
Arizona,AZ,,91.0,,17.0,,,2020-04-15,2020-16
Arizona,AZ,,172.0,,35.0,,,2020-04-22,2020-17
Arizona,AZ,,210.0,,50.0,,2.0,2020-04-29,2020-18
Arizona,AZ,,277.0,52.0,69.0,0.0,5.0,2020-05-06,2020-19
Arkansas,AR,0.0,0.0,0.0,0.0,0.0,0.0,2020-03-26,2020-13
Arkansas,AR,,1.0,1.0,0.0,0.0,0.0,2020-04-01,2020-14
Arkansas,AR,,,7.0,0.0,0.0,0.0,2020-04-07,2020-15
Arkansas,AR,,,35.0,61.0,0.0,0.0,2020-04-14,2020-16
Arkansas,AR,,1124.0,25.0,731.0,0.0,0.0,2020-04-21,2020-17
Arkansas,AR,647.0,1855.0,95.0,923.0,0.0,0.0,2020-04-28,2020-18
Arkansas,AR,,,127.0,944.0,0.0,5.0,2020-05-07,2020-19
California,CA,,166.0,9.0,1.0,0.0,0.0,2020-03-26,2020-13
California,CA,,266.0,27.0,8.0,0.0,0.0,2020-04-01,2020-14
California,CA,,421.0,62.0,25.0,0.0,0.0,2020-04-08,2020-15
California,CA,,593.0,81.0,69.0,0.0,0.0,2020-04-15,2020-16
California,CA,,676.0,97.0,135.0,0.0,1.0,2020-04-22,2020-17
