webpage,tracker,visitation_suspended,legal_visitation_permitted,telephone_change,video_change,additional_change,Increased_hygiene,Screening_employees,Screening_admissions,Suspended_Transfers,Mandatory_isolation,Suspension_medical_copays,Expedited_parole,Reducing_staff,System_quarantine,Lockdown_facilities,prison_perc
1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0.037817907
1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0.020012007
1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0.16557086
1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,5.192233651
1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0.335961373
1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1.780381346
1,1,0,1,1,0,0,1,1,1,0,1,1,0,0,0,0,3.912260599
1,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,2.703287197
1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0.427974038
0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0.577453721
1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0.476913072
1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1.85935815
1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0.249970242
1,1,1,0,1,1,0,1,1,1,0,1,1,0,0,0,0,6.218402427
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.885757936
1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1.069315701
0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.324468085
0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,4.294628655
1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,0,5.500570488
1,1,1,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0.960981822
0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0.021425893
1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0.123076923
1,1,0,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0.011524056
1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1.188304869
1,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0
1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0.969988781
1,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,0,1.855578574
1,1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0
1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,8.842407464
1,1,0,1,1,0,0,1,1,0,0,1,0,0,1,1,0,0.008194035
1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.304329783
1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0.324277745
0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.174748799
0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0.236326806
0,0,1,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0.053864799
0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,9.262411348
1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0.953441238
1,1,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0.163105529
1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,3.20056899
1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,2.030883434
1,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0.14159292
1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0
1,1,0,1,1,0,0,1,1,0,1,0,1,1,0,0,0,0.088519076
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
